"ORIGIN_TO_ADDRESS","ATTESTATION_ADDRESS_NAME","NUM_ATTESTATIONS","NUM_UNIQUE_ATTESTATION_ADDRESSES","NUM_DUPLICATE_ATTESTATIONS"
"0xd870a73a32d0b8c34ccf1e6098e9a26977cb605b","Flipside_user_scoring",45786,36787,8999
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgPostProfileVisitsTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","numFollowersTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgFollowersD2Twitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgPostRetweetsTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgPostQuoteTweetsTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgPostLinkClicksTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgPostImpressionsTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgPostCommentsTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","walletBalanceEth",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","avgPostLikesTwitter",34730,34220,510
"0xd34a8775d06d41b36054d59ef2d09a79b7aa1fa2","timeCreatedTwitter",34730,34220,510
